2325	3524	3	17.69
115	31167	3	9.3
2875	20052	6	81.1
13504	4792	4	47.13
30053	109	4	11.85
124	431	44	7.5
1136	1235	4	11.73
1680	203	7	7.79
105	16519	8	11.53
8750	3586	3	27.36
552	4264	4	16.41
249	3294	7	19.5
3246	1013	5	25.27
148	1027	42	98.09
6321	1681	3	20.19
12296	143	3	8.12
873	6163	4	23.32
803	15224	3	22.83
383	11100	3	15.19
110	14007	8	14.9
200	13251	3	12.42
1265	198	15	28.34
7143	5039	3	28.2
13228	149	3	9.06
124	2287	17	17.03
1654	2599	4	20.48
3182	2409	6	42.75
12362	195	4	17.58
107	8857	12	7.4
2921	342	50	400.47
804	10633	6	48.76
181	7476	7	27.67
179	8266	12	65.33
365	152	32	9.98
3918	4955	6	56.64
10881	2100	13	163.54
656	6539	6	38.04
558	3971	4	15.88
3773	23274	3	36.67
432	576	8	10.06
1963	251	9	20.2
624	7377	26	296.03
11873	111	7	9.57
2025	169	10	14.49
27297	463	3	27.32
1006	1468	6	22.62
3144	585	5	19.74
647	10993	7	57.6
12031	304	5	29.76
1038	131	18	8.01
3079	135	28	98.82
1066	119	32	10.95
9174	184	18	134.88
7583	6925	13	186.87
253	103	567	27.04
103	3958	44	31.37
1303	1626	3	9.64
16923	6036	3	37.12
14	2655	86	12.94
16107	11058	3	41.59
252	481	13	8.06
3352	146	10	18.87
104	3595	37	11.69
192	3079	6	10.46
1552	9360	3	22.63
1625	2223	3	12.98
1245	195	11	14.29
502	10116	3	16.32
2265	571	9	39.02
7315	2056	3	22.12
15791	374	4	27.07
4217	153	8	17.45
3386	179	5	7.2
355	4371	3	7.98
1688	154	14	21.02
135	266	51	8.63
633	1321	4	8.07
23216	107	5	7.77
16136	8991	3	40.99
515	4933	6	30.98
3675	126	9	9.2
19448	7605	4	57.83
5367	350	3	9.2
186	1966	14	34.11
602	855	5	7.57
12	312	585	43.97
134	4853	8	15.1
159	5763	10	35.1
406	13900	11	113.78
1061	502	5	8.31
101	4651	40	17.98
14	4271	48	7.22
3041	166	7	10.05
211	37540	3	25.47
104	6201	20	7.22
482	1534	4	7.65
4481	432	7	34.76
465	12623	3	18.03
105	5821	27	28.63
2021	164	12	19.71
1600	1016	4	12.63
4341	4971	4	34.92
3139	951	21	171.05
12887	357	4	25.46
1265	22154	3	29.8
