1167	271	3	14.92
148	1027	36	279.32
1265	198	3	12.73
3182	2409	3	35.29
2320	102	7	4.24
10881	2100	13	243.06
3918	4955	6	93
656	6539	4	46.07
179	8266	8	82.94
7657	101	4	4.07
101	21605	3	9.9
9174	184	16	207.07
104	3595	12	31.68
101	3035	15	21.05
3324	14	12	17.13
116	13638	3	18.5
19448	7605	4	81.94
102	1978	9	6.41
105	5821	8	24.94
2497	109	8	18.01
866	2474	4	38.55
101	4866	16	41.54
103	5724	4	5.35
105	7470	4	9.33
2469	102	8	6.78
109	26673	3	19.74
104	3874	27	126.88
10290	107	11	66.1
314	893	5	29.15
107	8576	5	17.03
121	5729	3	14.04
631	584	4	24.46
344	149	4	5.58
5326	14	6	7.06
116	29338	3	27.42
108	9638	3	10.1
6146	110	10	51.53
243	5835	3	24.38
8326	12	8	19.1
226	10579	6	66.51
1516	138	3	9.72
123	5177	8	53.83
494	136	9	28.05
123	211	53	173.72
1780	106	7	5.64
14699	12	3	5.67
105	19656	4	21.26
4816	102	7	12.96
783	190	9	48.02
2593	2085	3	33.08
118	11500	4	26.19
268	8573	5	52.85
932	103	60	161.84
2977	12	17	25.86
3996	14	11	18.18
217	24604	3	37.23
8794	6119	16	340.8
4788	12	11	18.97
24135	9568	3	63.53
109	29395	4	35.23
220	413	15	82.52
22581	6284	3	58.61
13650	101	7	26
730	113	32	114.19
3194	59	7	29.97
188	540	9	41.39
103	955	14	5.85
2806	102	7	6.08
9746	14	9	32.26
161	2527	4	22
4760	112	8	37.37
116	12889	4	26.59
16306	369	4	52.15
59	14076	3	19.27
27695	14	4	25.07
132	1326	4	13.07
39313	3807	3	63.33
105	860	21	23.26
101	1296	33	40.13
2138	121	3	7.78
107	31602	3	19.53
156	5307	3	19.57
114	11035	3	15.02
993	630	3	19.76
101	6007	12	29.76
580	211	8	38.4
4476	121	6	33.32
103	6817	11	41.36
102	7189	4	6.9
353	1824	4	28.71
215	139	13	25.19
121	120	34	4.58
181	156	22	63.7
1361	244	13	102.69
13706	106	9	57.87
2834	12	9	4.33
3376	329	8	78.07
106	9607	8	37.9
8162	105	4	10.27
3975	173	5	36.55
7139	103	3	4.02
243	7456	3	26.25
3464	8794	14	268.14
18647	108	3	15.82
116	21794	3	23.62
642	4864	3	30.31
1596	2943	4	45.38
32214	4420	3	64.39
32603	101	3	17.91
4773	14	8	11.62
2286	1907	51	883.93
119	3536	4	14.98
105	8295	7	26.15
3024	14	10	9.56
979	105	46	126.17
101	10234	5	10.49
5106	107	4	7.14
114	6804	3	11.34
560	1301	4	29.89
13612	103	4	13.84
17861	110	3	16.98
759	9619	4	51.08
3600	1464	9	120.21
4328	165	3	18.49
143	1298	17	112.09
101	26909	5	29.85
7032	2747	7	111.08
444	254	5	19.69
6135	12	5	4.44
289	244	3	5.7
738	105	17	10.72
10270	1120	3	39.52
228	281	3	4.96
106	6734	5	13.85
2960	17234	4	69.78
121	9937	4	26.99
6567	9329	7	133.16
749	34466	3	52.89
106	1029	44	130.63
7692	103	5	11.94
4627	14	9	14.23
438	111	14	12.73
3058	128	4	18.16
101	11325	6	16.56
59	1026	4	4.57
4740	600	6	67.85
2283	14	18	25.54
116	3863	4	14.24
5291	102	5	7.38
16260	12	3	6.89
271	106	38	14.18
114	7426	5	25.31
8814	14	6	13.81
9837	12	4	6.04
11594	550	5	66
106	2416	8	11.66
108	2647	4	4.68
615	3404	6	63.49
5279	12	7	8.03
4252	14	8	9.66
7327	103	3	4.02
85	1512	4	14.8
107	436	35	39.95
106	304	49	44
200	1106	4	18.18
38393	1890	3	58.68
542	426	5	28.3
378	1484	3	19.09
10835	101	5	11.11
3418	9	7	48.23
2490	14	22	42.46
3510	12	9	7.23
446	105	31	24.18
11489	101	4	7.62
103	24318	3	14.88
106	9301	3	7.5
109	9953	3	10.57
311	162	5	9.05
125	3882	3	12.77
101	18904	5	19.57
337	134	5	6.11
104	18114	5	27.16
2703	109	6	11.41
13831	101	3	5.35
663	113	16	33.95
3349	2570	3	36.04
123	650	4	4.94
7100	1389	4	52.72
8411	12	4	4.67
177	16338	6	72.91
101	1506	14	4.18
14830	12	3	6.24
131	410	10	26.17
283	167	4	5.7
101	1865	19	18.1
2647	12	17	21.88
105	423	28	16.14
319	156	6	12.33
12	3582	8	5.32
102	4250	7	11.15
6011	14	7	11.7
803	24666	3	46.51
143	12196	3	25.07
544	413	6	35.77
13468	101	6	19.8
20833	101	3	8.76
4751	130	3	15.62
12235	101	3	4.5
3185	14	7	3.85
553	113	7	4.08
2605	109	33	175.59
6133	12982	3	52.69
104	38098	3	22.56
2124	254	4	26.37
105	22636	3	14.83
102	1407	15	13.99
2231	16	7	41.01
23666	163	3	34.35
2139	102	11	12.36
218	3240	8	67.9
4731	135	11	90.83
218	1523	6	37.56
105	3784	24	106.98
10844	665	6	83.47
105	7744	4	9.63
114	11972	5	32.37
134	4414	10	78.32
101	6525	12	32.22
109	26104	5	44.04
1601	105	8	5.45
2629	12	14	13.44
11994	101	8	29.25
4376	12	7	5.63
5403	14	10	21.37
155	774	16	91.52
14318	101	6	21.18
134	113	98	123.03
3798	59	5	20.09
104	3293	8	13.73
11855	13670	3	58.79
14112	3043	7	130.01
2633	102	8	7.53
1613	101	29	40.72
12	37797	3	17.7
19051	106	3	14.34
179	3498	5	35.4
2805	116	3	7.01
105	16729	4	18.55
3760	344	5	45.8
1168	106	54	199.89
125	576	8	18.84
7471	101	23	119.01
988	343	3	15.78
568	111	10	7.77
2620	107	5	4.66
5461	12	8	11.31
199	183	6	8.76
112	1316	9	19.63
5374	153	4	27.98
108	852	10	7.97
1155	103	19	20.36
2176	14	100	581.28
165	143	10	9.72
2884	137	4	20.24
106	2178	25	85.25
295	356	3	8.69
109	2837	14	50.38
2098	655	6	58
104	9899	12	67.62
10150	12	4	6.45
12	12905	3	4.73
7490	103	3	4.2
7938	365	9	113.21
117	876	13	37.7
119	111	129	37.12
116	1684	14	59.75
2612	14	18	29.88
102	12355	4	12.66
1398	2707	3	30.83
1217	38892	3	55.9
117	4317	4	15.63
16352	5240	8	169.57
114	8011	7	41.95
104	9586	3	6.74
12	8662	11	36.92
101	9058	4	5.52
16345	12	4	11.77
14299	103	6	28.13
108	476	47	112.64
6465	101	8	14.74
106	2984	7	11.36
310	11738	3	32.55
6514	106	3	5.12
570	198	4	13.06
8947	14	5	9.71
3607	102	9	15.46
106	1221	31	81.89
113	291	67	204.92
12762	101	3	4.9
196	459	9	39.81
164	1163	3	10.32
5953	12	5	4.22
167	2485	3	15.24
106	3574	8	17.73
101	29693	3	13.51
104	26217	4	25.13
108	7542	3	8.26
195	4302	5	39.34
112	4910	10	52.05
3101	14	12	15.4
115	2276	9	35.67
8046	6528	3	49.04
101	14026	5	15.31
103	15204	5	22.25
13004	4212	4	69.39
4147	1271	5	60.74
528	330	6	31.83
102	10581	3	6.12
2512	858	3	27.24
5994	12	6	6.72
101	12198	4	8.16
12	11794	3	4.34
118	6120	12	87.4
3157	107	6	9.25
107	22867	6	47.98
12160	2452	7	121.52
116	2766	10	46.02
260	34609	3	45.61
3402	85	4	21.56
17507	14	3	8.66
241	2850	3	19.2
4836	1490	3	35.43
2694	14	16	23.88
117	1781	6	17.13
8817	59	8	57.79
2391	938	5	51.07
624	9039	8	111.36
8052	200	3	25.44
378	3025	5	44.46
5766	24014	3	59.63
5463	1602	3	36.65
112	663	12	18.2
800	3118	3	28.32
11671	103	3	7.16
108	1126	23	61.26
167	1088	10	57.94
226	2228	3	17.28
678	145	12	55.49
1762	307	4	27.01
104	30534	3	18.11
11440	14	3	4.86
107	6591	6	18.84
858	102	22	16.28
5049	279	5	46.65
116	20620	3	22.39
19334	17619	3	66.69
2292	8788	4	59.45
16701	106	4	19.49
201	116	40	68.1
2848	108	6	11.79
106	3027	18	62.56
12696	12	3	4.73
101	9101	6	12.83
10445	102	4	10.4
19492	807	3	43.74
2966	21240	5	97.34
101	12528	4	8.76
118	2231	6	20.32
116	4144	20	143.78
114	3486	4	11.25
15774	101	5	16.5
118	518	25	82.35
174	588	13	67.92
843	102	27	27.03
10724	12	5	10.81
11749	14	5	13.89
19742	102	3	11.81
104	15476	7	40.57
101	10713	10	39.14
37640	101	3	17.91
103	9520	3	5.83
6188	101	7	10.38
12557	12	3	4.73
15625	105	10	76.74
1701	1236	9	101.93
17685	103	3	11.2
107	160	969	4652.91
104	28785	3	18.11
9692	101	6	13.46
125	12696	3	21.91
2884	103	10	15.54
232	702	6	29.36
1947	1636	3	29.86
15605	101	7	29.88
59	24222	5	53.48
345	2499	4	30.99
7064	402	4	42.55
477	498	5	28.66
140	1561	6	28.36
110	353	27	31.89
106	3915	4	4.96
4189	1401	3	33.96
704	2575	4	37.55
58	13	8	59.16
227	16	16	40.69
108	7874	3	8.72
9759	5390	14	293.03
12598	3100	10	193.02
8501	734	21	362.74
106	5368	8	24.95
983	503	6	45.22
10212	101	7	19.79
115	621	26	89.41
19232	14	3	9.6
577	16358	5	73.2
6193	421	3	29.44
105	8538	11	54.39
191	9318	5	49.62
4656	103	4	3.98
1323	5189	5	63.96
16140	101	9	53.72
116	5072	3	10.82
104	10880	7	31.14
371	102	66	70.5
9934	105	3	7.45
594	2465	8	82.76
267	773	8	48.22
15268	103	3	9.68
114	716	25	79.53
107	8175	4	11.43
1372	14	33	51.71
111	1108	24	81.42
110	713	13	15.98
290	2587	3	20.54
4132	519	3	27.86
107	12128	4	15.6
328	11016	3	32.08
7750	102	5	11.39
18974	1464	7	133.35
12301	12	5	12.22
9227	105	13	74.17
273	142	10	22.51
725	2851	3	27.17
2675	138	3	13.06
108	15975	3	14.97
101	7393	8	17.52
360	107	62	101.13
3937	3576	3	39.53
1055	128	4	9.81
21530	12	6	35.4
192	1856	4	22.06
101	1844	28	44.22
1306	12	37	50.81
254	146	6	7.7
105	2310	10	15.81
161	435	5	12.87
130	315	7	9.86
104	2736	32	131.49
794	255	4	18.31
1342	112	7	12.51
104	6680	5	11.75
9887	103	4	10.39
991	123	10	35.29
32718	33760	3	86.84
469	28442	3	45.7
9291	150	3	23.23
109	15674	3	14.38
691	59	10	19.93
104	18087	6	36.22
559	221	86	842.13
32386	57	3	30.71
2440	105	8	10.28
7788	102	6	15.84
211	2196	3	16.63
3794	279	3	22.64
125	543	4	4.54
122	1466	8	29.76
107	10985	5	20.51
101	21840	3	9.9
106	9000	3	7.5
102	4100	5	5.11
108	30685	3	21.8
101	6486	9	18.65
11484	3542	6	105.54
114	11634	3	15.44
118	10330	4	25.05
577	137	4	7.9
103	5314	15	56.89
119	9088	4	24.42
760	142	3	6.52
4693	192	20	224.45
103	3483	23	83.56
10739	14	3	4.52
6771	110	7	32.47
22048	14	3	10.75
4650	3890	4	57.67
4043	149	11	92.75
367	411	4	17.15
7857	17507	7	155.76
152	3320	8	58.34
211	2970	5	36.11
123	2029	14	79.86
1759	137	5	22.51
231	1186	4	20.48
106	1482	13	18.81
108	1730	9	15.98
5377	111	3	8.01
2209	103	11	13.86
166	12	149	7.82
1190	14	24	19.83
3990	3028	3	38.56
475	109	15	9.56
3548	111	4	9.39
1085	337	4	23.84
6585	12	6	7.96
119	22730	3	24.94
16	1623	4	16.46
9095	103	8	31.09
26658	1251	3	49.3
114	925	9	16.02
3851	545	3	27.64
406	301	5	21.04
329	4270	6	58.41
2067	3621	6	79.46
101	11650	3	4.14
103	10726	5	16.58
16749	117	3	20.91
531	12	86	109.47
101	15908	3	6.42
103	14784	4	14.64
7397	14	5	7.75
206	109	31	7.5
205	1286	9	58.96
119	1266	3	3.96
118	1390	7	19.31
23305	10248	3	62.68
11029	12	6	15.31
984	378	3	16.55
3576	101	30	96.51
4634	1137	5	61.17
7698	1759	4	55.71
2394	307	5	39.16
27953	103	3	17.06
35594	20140	3	77.28
7126	135	3	19.63
106	4120	6	12.08
104	30769	4	30.08
15417	103	4	15.55
162	1439	7	38.43
12	28717	4	23.6
1017	12	25	10.93
3066	103	6	5.19
2040	14	20	28.44
446	85	4	6.16
673	6529	3	32.66
384	204	5	15.05
118	20529	4	33.95
162	2762	3	15.4
108	2692	5	7.68
108	1079	10	11.52
5854	105	4	7.17
11614	110	8	52.64
115	8151	8	55.27
16875	101	6	24.67
105	10010	5	17.66
9514	105	19	145.8
5858	101	6	6.75
7910	104	5	13.94
101	15218	5	16.5
114	1828	9	27.56
3786	106	4	4.64
38127	23316	3	78.52
115	3185	6	23.15
101	13112	4	9.43
8	3103	9	64.5
685	12	75	111.46
3471	7760	3	44.27
10627	102	3	6.47
