id,file_number,author,title,genre,year,source,char_count,word_count,is_original_mk
58,62,Вангелов Атанас,Изучување на молкот,Поезија,,НИД „МИКЕНА“ - Битола,78248,17237,True
59,63,Клетников Ефтим,Ангелот од Курбиново,Поезија,,НИД „МИКЕНА“ - Битола,92636,19832,True
60,64,Бакевски Петре,Небесен оган,Поезија,,НИД „МИКЕНА“ - Битола,139663,29909,True
61,65,Чачански Крсте,На небото книга,Проза,2000.0,НИД „МИКЕНА“ - Битола,206614,43034,True
62,66,Манчев Васе,Шупливи ореви,Проза,,НИД „МИКЕНА“ - Битола,231269,47790,True
63,67,Лазаров Ристо,Жива рана,Поезија,,НИД „МИКЕНА“ - Битола,73824,15142,True
64,68,Крстевски Трајче,Силјан повторно лета,Проза,1994.0,НИД „МИКЕНА“ - Битола,104951,22245,True
65,69,Колбе Кица,Снегот во Казабланка,Проза,2006.0,НИД „МИКЕНА“ - Битола,668539,138948,True
66,70,Михајловски Драги,Избор,Проза,,НИД „МИКЕНА“ - Битола,376387,77390,True
67,71,Ќулавкова Катица,Ерато,Поезија,,НИД „МИКЕНА“ - Битола,135631,27468,True
68,72,Стојковски Глигор,Капката оловна вода,Поезија,,НИД „МИКЕНА“ - Битола,72836,15001,True
69,73,Линдро Милош,Раз-градба,Поезија,,НИД „МИКЕНА“ - Битола,40133,8088,True
70,74,Стефановски Милован,Високо вода,Поезија,,НИД „МИКЕНА“ - Битола,56954,12138,True
71,75,Ацевска Весна,Мартинки,Поезија,,НИД „МИКЕНА“ - Битола,53277,10970,True
72,76,Дирјан Лидија,Светот мојот брат,Поезија,,НИД „МИКЕНА“ - Битола,115825,23681,True
73,77,Анчевски Зоран,Избрани песни,Поезија,,НИД „МИКЕНА“ - Битола,53108,11372,True
74,79,Даниловски Јордан,Коба,Поезија,,НИД „МИКЕНА“ - Битола,60003,13553,True
75,80,Прокопиев Александар,Избрани раскази,Проза,,НИД „МИКЕНА“ - Битола,289644,56757,True
76,81,Србиновски Младен,Приказни од Долна Земја,Проза,2005.0,НИД „МИКЕНА“ - Битола,535239,109407,True
77,82,Џепаровски Иван,Волја за мисла,Поезија,,НИД „МИКЕНА“ - Битола,58093,11339,True
78,83,Димовски Славе Ѓорго,Поле. Бојно поле?,Поезија,,НИД „МИКЕНА“ - Битола,64604,13598,True
79,85,Миневски Блаже,Нишан,Проза,2007.0,НИД „МИКЕНА“ - Битола,489897,104179,True
80,86,Лафазановски Ермис,Егзотична кантата,Проза,,НИД „МИКЕНА“ - Битола,222758,47797,True
81,87,Андоновски Венко,Папокот на светот,Проза,2000.0,НИД „МИКЕНА“ - Битола,413642,87995,True
82,88,Димковска Лидија,Идеална тежина,Поезија,,НИД „МИКЕНА“ - Битола,99210,21103,True
83,89,Маџиров Никола,Начин на постоење,Поезија,,НИД „МИКЕНА“ - Битола,35441,7105,True
84,90,Смилевски Гоце,Разговор со Спиноза,Проза,2002.0,НИД „МИКЕНА“ - Битола,230018,48132,True
85,91,Тасевски Јовица,Синтакса на светлината,Поезија,,НИД „МИКЕНА“ - Битола,43036,8605,True
86,93,Силјан Раде,Македонски раскази,Проза,,НИД „МИКЕНА“ - Битола,730806,153820,True
87,94,Јоциќ Светлана,Романи за деца (I) и  (II),Детска книжевност,,НИД „МИКЕНА“ - Битола,996759,215815,True
88,95,Јоциќ Светлана,Романи за деца (I) и  (II),Детска книжевност,,НИД „МИКЕНА“ - Битола,931699,206073,True
89,96,Спасевски Мито,Современа македонска поезија за деца,Детска книжевност,,НИД „МИКЕНА“ - Битола,171367,34393,True
90,97,Димовски Петре,Раскази за деца,Детска книжевност,,НИД „МИКЕНА“ - Битола,362862,79838,True
91,98,Арсовски Томе,Парадоксот на Диоген,Драма,,НИД „МИКЕНА“ - Битола,114111,22408,True
92,99,Стефановски Горан,Одбрани драми,Драма,,НИД „МИКЕНА“ - Битола,219637,46032,True
93,100,Плевнеш Јордан,Одбрани драми,Драма,,НИД „МИКЕНА“ - Битола,477798,95358,True
94,101,Стојаноска Ана,Современа македонска драма,Драма,,НИД „МИКЕНА“ - Битола,602311,127565,True
95,132,Стојчевски Санде,Крајните потези,Поезија,,АРС ЛАМИНА -Скопје,109552,23557,True
96,133,Смилевски Веле,Век за самување,Поезија,,АРС ЛАМИНА -Скопје,124120,26255,True
97,134,Силјан Раде,Огледало на вековите,Поезија,,АРС ЛАМИНА -Скопје,90307,18705,True
98,135,Цветкоски Бранко,Оган во обрачи,Поезија,,АРС ЛАМИНА -Скопје,96472,19939,True
