file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
19,19,19 Матеја Матевски.txt,Матеја Матевски,Матевски Матеја,,Прогонети од рајот,Поезија,НИД „МИКЕНА“ - Битола,2008,,,215.78,UTF-8-SIG,both,mk,0.998,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.9, медиана: 26; каталог: Поезија",True,True,original_mk
20,20,20 Гане Тодоровски.txt,Гане Тодоровски,Тодоровски Гане,,Живеј песно!,Поезија,НИД „МИКЕНА“ - Битола,2008,,,223.3,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 29.6, медиана: 30; каталог: Поезија",True,True,original_mk
21,21,21 Симон Дракул - Белата долина.txt,Симон Дракул,Дракул Симон,Белата долина,Белата долина,Проза,НИД „МИКЕНА“ - Битола,2008,1962.0,1962,925.21,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
22,22,22 Димитар Солев - Кратката пролет на Моно Самоников.txt,Димитар Солев,Солев Димитар,Кратката пролет на Моно Самоников,Кратката прослет на Моно Самоников,Проза,НИД „МИКЕНА“ - Битола,2008,1964.0,1964,474.65,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
23,23,23 Анте Поповски.txt,Анте Поповски,Попоски Анте,,Провиденија,Поезија,НИД „МИКЕНА“ - Битола,2008,,,214.41,UTF-8-SIG,both,mk,0.994,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 29.5, медиана: 30; каталог: Поезија",True,True,original_mk
24,24,24 Јован Стрезовски.txt,Јован Стрезовски,Стрезовски Јован,,Вода. Зарек,Проза,НИД „МИКЕНА“ - Битола,2008,1972.0,1972 / 1981,679.77,UTF-8-SIG,both,mk,0.9974,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
25,25,25 Благоја Иванов - Избор.txt,Благоја Иванов,Иванов Благоја,Избор,Избор,Проза,НИД „МИКЕНА“ - Битола,2008,,/,852.95,UTF-8-SIG,both,mk,0.9975,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
26,26,26 Љубен Ташковски.txt,Љубен Ташковски,Ташковски Љубен,,Од премудрата тишина,Поезија,НИД „МИКЕНА“ - Битола,2008,,,183.32,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 31.7, медиана: 33; каталог: Поезија",True,True,original_mk
27,27,27 Владимир Костов - Свадбата на Мара.txt,Владимир Костов,Костов Владимир,Свадбата на Мара,Свадбата на Мара,Проза,НИД „МИКЕНА“ - Битола,2008,1968.0,1968,928.02,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
28,28,28 Методија Фотев - Големите Скитачи.txt,Методија Фотев,Фотев Методија,Големите Скитачи,Големите скитачи,Проза,НИД „МИКЕНА“ - Битола,2008,1970.0,1970,781.65,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
