file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
73,73,73 Милош Линдро - Раз-градба.txt,Милош Линдро,Линдро Милош,Раз-градба,Раз-градба,Поезија,НИД „МИКЕНА“ - Битола,2008,,,88.28,UTF-8-SIG,both,mk,0.9942,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.0, медиана: 26; каталог: Поезија",True,True,original_mk
74,74,74 Милован Стефановски - Високо вода.txt,Милован Стефановски,Стефановски Милован,Високо вода,Високо вода,Поезија,НИД „МИКЕНА“ - Битола,2008,,,132.22,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 23.3, медиана: 24; каталог: Поезија",True,True,original_mk
75,75,75 Весна Ацевска - Мартинки.txt,Весна Ацевска,Ацевска Весна,Мартинки,Мартинки,Поезија,НИД „МИКЕНА“ - Битола,2008,,,128.11,UTF-8-SIG,both,mk,0.9585,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 23.7, медиана: 24; каталог: Поезија",True,True,original_mk
76,76,76 Лилјана Дирјан - Светот мојот брат.txt,Лилјана Дирјан,Дирјан Лидија,Светот мојот брат,Светот мојот брат,Поезија,НИД „МИКЕНА“ - Битола,2008,,,259.52,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 47.5, медиана: 27; каталог: Поезија",True,True,original_mk
77,77,77 Зоран Анчевски - Избрани Песни.txt,Зоран Анчевски,Анчевски Зоран,Избрани Песни,Избрани песни,Поезија,НИД „МИКЕНА“ - Битола,2008,,,118.55,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 21.5, медиана: 20; каталог: Поезија",True,True,original_mk
79,79,79 Јордан Даниловски - Коба.txt,Јордан Даниловски,Даниловски Јордан,Коба,Коба,Поезија,НИД „МИКЕНА“ - Битола,2008,,,136.81,UTF-8-SIG,both,mk,0.9872,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 16.2, медиана: 15; каталог: Поезија",True,True,original_mk
80,80,80 Прокопиев Александар Избрани раскази.txt,Прокопиев Александар,Прокопиев Александар,Избрани раскази,Избрани раскази,Проза,НИД „МИКЕНА“ - Битола,2008,,/,614.84,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
81,81,81 Србиновски Младен Приказни од Долна земја.txt,Србиновски Младен,Србиновски Младен,Приказни од Долна земја,Приказни од Долна Земја,Проза,НИД „МИКЕНА“ - Битола,2008,2005.0,2005,1136.45,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
82,82,82 Иван Џепаровски - Волја за мисла.txt,Иван Џепаровски,Џепаровски Иван,Волја за мисла,Волја за мисла,Поезија,НИД „МИКЕНА“ - Битола,2008,,,125.98,UTF-8-SIG,both,mk,0.9935,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 31.0, медиана: 26; каталог: Поезија",True,True,original_mk
83,83,83 Славе Ѓ. Димовски - Поле Бојно Поле.txt,Славе Ѓ. Димовски,Димовски Славе Ѓорго,Поле Бојно Поле,Поле. Бојно поле?,Поезија,НИД „МИКЕНА“ - Битола,2008,,,146.17,UTF-8-SIG,both,mk,0.9978,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 24.7, медиана: 21; каталог: Поезија",True,True,original_mk
85,85,85 Миневски Блаже Нишан.txt,Миневски Блаже,Миневски Блаже,Нишан,Нишан,Проза,НИД „МИКЕНА“ - Битола,2008,2007.0,2007,1044.59,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
86,86,86 Лафазановски Ермис Егзотична кантата.txt,Лафазановски Ермис,Лафазановски Ермис,Егзотична кантата,Егзотична кантата,Проза,НИД „МИКЕНА“ - Битола,2008,,/,483.27,UTF-8-SIG,both,mk,0.9679,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
87,87,87 Андоновски Венко Папокот на светот.txt,Андоновски Венко,Андоновски Венко,Папокот на светот,Папокот на светот,Проза,НИД „МИКЕНА“ - Битола,2008,2000.0,2000,885.21,UTF-8-SIG,both,mk,0.9581,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
88,88,88 Лидија Димковска - Идеална тежина.txt,Лидија Димковска,Димковска Лидија,Идеална тежина,Идеална тежина,Поезија,НИД „МИКЕНА“ - Битола,2008,,,215.39,UTF-8-SIG,both,mk,0.9986,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 39.7, медиана: 41; каталог: Поезија",True,True,original_mk
89,89,89 Никола Маџиров - Начин на постоење.txt,Никола Маџиров,Маџиров Никола,Начин на постоење,Начин на постоење,Поезија,НИД „МИКЕНА“ - Битола,2008,,,82.59,UTF-8-SIG,both,mk,0.9965,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 24.4, медиана: 24; каталог: Поезија",True,True,original_mk
90,90,90 Смилевски Гоце Разговор со Спиноза.txt,Смилевски Гоце,Смилевски Гоце,Разговор со Спиноза,Разговор со Спиноза,Проза,НИД „МИКЕНА“ - Битола,2008,2002.0,2002,491.21,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
91,91,91 Јовица Тасевски - Синтакса на светлината.txt,Јовица Тасевски,Тасевски Јовица,Синтакса на светлината,Синтакса на светлината,Поезија,НИД „МИКЕНА“ - Битола,2008,,,96.03,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 20.4, медиана: 20; каталог: Поезија",True,True,original_mk
93,93,93 Силјан Раде Македонски раскази.txt,Силјан Раде,Силјан Раде,Македонски раскази,Македонски раскази,Проза,НИД „МИКЕНА“ - Битола,2008,,,1572.87,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
94,94,94 Јоциќ Светлана Романи за деца 1.txt,Јоциќ Светлана,Јоциќ Светлана,Романи за деца 1,Романи за деца (I) и  (II),Проза,НИД „МИКЕНА“ - Битола,2008,,,2172.38,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Детска книжевност,Детска книжевност,файл 94: детская литература по номеру; в названии есть маркер детской литературы,True,True,original_mk
95,95,95 Јоциќ Светлана Романи за деца II.txt,Јоциќ Светлана,Јоциќ Светлана,Романи за деца II,Романи за деца (I) и  (II),Проза,НИД „МИКЕНА“ - Битола,2008,,,2035.91,UTF-8-SIG,both,mk,0.9981,True,False,cyrillic_dominant + mk_specific_chars,mk,Детска книжевност,Детска книжевност,файл 95: детская литература по номеру; в названии есть маркер детской литературы,True,True,original_mk
96,96,96 Мито Спасевски - СМП за деца.txt,Мито Спасевски,Спасевски Мито,СМП за деца,Современа македонска поезија за деца,Поезија,НИД „МИКЕНА“ - Битола,2008,,,380.77,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Детска книжевност,Детска книжевност,"файл 96: детская литература по номеру; в названии есть маркер детской литературы; средняя длина строки: 30.9, медиана: 21; каталог: Поезија",True,True,original_mk
97,97,97 Димовски Петре Раскази за деца.txt,Димовски Петре,Димовски Петре,Раскази за деца,Раскази за деца,Проза,НИД „МИКЕНА“ - Битола,2008,,,798.0,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Детска книжевност,Детска книжевност,файл 97: детская литература по номеру; в названии есть маркер детской литературы,True,True,original_mk
98,98,98 Арсовски Томе Парадоксот на Диоген.txt,Арсовски Томе,Арсовски Томе,Парадоксот на Диоген,Парадоксот на Диоген,Драма,НИД „МИКЕНА“ - Битола,2008,,,240.48,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (2): ['[Дд]рама\\s+во\\s+(два|три|четир', '[Сс]удска\\s+драма']; ремарок: 244, диалогов в формате ИМЯ: 1016; каталог: Драма",True,True,original_mk
99,99,99 Стефановски Горан Одбрани драми.txt,Стефановски Горан,Стефановски Горан,Одбрани драми,Одбрани драми,Драма,НИД „МИКЕНА“ - Битола,2008,,,464.0,UTF-8-SIG,both,mk,0.9971,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (2): ['СЦЕНА\\s+(ПРВА|ВТОРА|ТРЕТА|ЧЕТВ', '^\\s*ЛИЦА\\s*[:\\n]']; маркеры драмы в теле текста: 47; ремарок: 550, диалогов в формате ИМЯ: 2585; каталог: Драма",True,True,original_mk
100,100,100 Плевнеш Јордан Одбрани драми.txt,Плевнеш Јордан,Плевнеш Јордан,Одбрани драми,Одбрани драми,Драма,НИД „МИКЕНА“ - Битола,2008,,,1016.04,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (1): ['^\\s*ЛИЦА\\s*[:\\n]']; ремарок: 699, диалогов в формате ИМЯ: 1767; каталог: Драма",True,True,original_mk
101,101,101 Стојаноска Ана Современа македонска драма.txt,Стојаноска Ана,Стојаноска Ана,Современа македонска драма,Современа македонска драма,Драма,НИД „МИКЕНА“ - Битола,2008,,,1358.25,UTF-8-SIG,both,mk,0.9972,True,False,cyrillic_dominant + mk_specific_chars,mk,Драма,Драма,"маркеры драмы в шапке (2): ['[Дд]рама\\s+во\\s+(два|три|четир', '^\\s*ЛИЦА\\s*[:\\n]']; маркеры драмы в теле текста: 68; ремарок: 1592, диалогов в формате ИМЯ: 5847; каталог: Драма",True,True,original_mk
132,132,132 Санде Стојчевски - Крајните потези.txt,Санде Стојчевски,Стојчевски Санде,Крајните потези,Крајните потези,Поезија,АРС ЛАМИНА -Скопје,2013,,,280.81,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 23.8, медиана: 22; каталог: Поезија",True,True,original_mk
133,133,133 Веле Смилевски - Век за самување.txt,Веле Смилевски,Смилевски Веле,Век за самување,Век за самување,Поезија,АРС ЛАМИНА -Скопје,2013,,,281.76,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 25.2, медиана: 24; каталог: Поезија",True,True,original_mk
134,134,134 Раде Силјан - Огледало на вековите.txt,Раде Силјан,Силјан Раде,Огледало на вековите,Огледало на вековите,Поезија,АРС ЛАМИНА -Скопје,2013,,,214.68,UTF-8-SIG,both,mk,0.993,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 18.7, медиана: 17; каталог: Поезија",True,True,original_mk
135,135,135 Бранко Цветкоски -Оган во обрачи.txt,Бранко Цветкоски,Цветкоски Бранко,Оган во обрачи,Оган во обрачи,Поезија,АРС ЛАМИНА -Скопје,2013,,,217.0,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 19.3, медиана: 19; каталог: Поезија",True,True,original_mk
